sub_id,source,platform,n_trials,n_go,n_stop,go_accuracy,go_omission_rate,go_rt,go_rt_all_responses,mean_stop_failure_RT,stop_accuracy,max_SSD,mean_SSD,min_SSD,final_SSD,ssrt,lag1_autocorr,post_error_slowing_ms,stop_acc_in_band
s176,human,human,600,420,180,0.9547619047619048,0.0,484.8728179551122,486.97857142857146,495.3333333333333,0.4888888888888889,450.0,258.3333333333333,50.0,300.0,226.5394846217789,-0.010491717957790652,5.565795303500238,True
s177,human,human,600,420,180,0.9333333333333333,0.002380952380952381,487.76785714285717,486.69928400954655,455.25,0.4777777777777778,400.0,191.94444444444446,0.0,250.0,295.8234126984127,-0.014430673869641268,10.404192872117392,True
s178,human,human,600,420,180,0.8904761904761904,0.0880952380952381,803.4545454545455,805.6187989556136,1157.0,0.42777777777777776,850.0,547.5,250.0,500.0,255.9545454545455,0.06148572460899913,10.977986001354793,True
s179,human,human,600,420,180,0.9357142857142857,0.014285714285714285,606.0788804071246,604.3526570048309,599.0,0.48333333333333334,500.0,326.6666666666667,150.0,200.0,279.41221374045796,0.003822616867999609,-8.659304511278208,True
s180,human,human,600,420,180,0.8404761904761905,0.014285714285714285,584.3767705382436,588.4830917874397,506.7368421052632,0.39444444444444443,500.0,287.22222222222223,100.0,200.0,297.15454831602136,-0.07785508522299867,54.41437947494035,True
s181,human,human,600,420,180,0.9476190476190476,0.014285714285714285,671.4522613065327,672.7753623188406,480.75,0.46111111111111114,550.0,335.0,150.0,400.0,336.4522613065327,-0.024429158549473844,29.010413533834594,True
s182,human,human,600,420,180,0.95,0.002380952380952381,587.5263157894736,589.4391408114559,526.0,0.48333333333333334,550.0,307.77777777777777,150.0,300.0,279.74853801169587,0.020227734186550377,-2.3037190082644656,True
s183,human,human,600,420,180,0.9809523809523809,0.0,553.8300970873786,554.402380952381,498.75,0.4777777777777778,400.0,260.0,150.0,300.0,293.8300970873786,0.018821335561898314,-18.186156152601882,True
s184,human,human,600,420,180,0.9809523809523809,0.004761904761904762,653.1019417475728,653.8086124401914,705.0,0.4666666666666667,700.0,446.1111111111111,250.0,500.0,206.99083063646174,0.0023368830117384432,-4.004409347817386,True
s185,human,human,600,420,180,0.9380952380952381,0.004761904761904762,514.2182741116751,511.1387559808612,466.5,0.4722222222222222,500.0,193.88888888888889,0.0,100.0,320.3293852227862,-0.021527807594239303,1.4306722689075286,True
s186,human,human,600,420,180,0.9142857142857143,0.04523809523809524,541.8880208333334,542.9875311720698,,0.49444444444444446,550.0,301.1111111111111,50.0,200.0,240.77690972222229,-0.03422886297895157,9.247598207773251,True
s187,human,human,600,420,180,0.9714285714285714,0.0,594.1985294117648,594.6952380952381,651.0,0.4888888888888889,450.0,291.6666666666667,100.0,300.0,302.53186274509807,0.013748409620681227,12.018791105543357,True
s188,human,human,600,420,180,0.969047619047619,0.002380952380952381,650.2923832923833,651.3890214797136,637.6666666666666,0.4722222222222222,600.0,401.1111111111111,200.0,500.0,249.18127218127222,-0.032755912299591024,37.69767308792677,True
s189,human,human,600,420,180,0.8333333333333334,0.08095238095238096,540.5,539.1295336787565,377.6,0.48333333333333334,400.0,183.88888888888889,0.0,300.0,356.6111111111111,0.030385119685418686,14.245858920491287,True
s190,human,human,600,420,180,0.9976190476190476,0.0,556.4940334128878,556.3833333333333,,0.4777777777777778,650.0,345.0,150.0,400.0,211.4940334128878,-0.025140643845788624,12.514160401002528,True
s191,human,human,600,420,180,0.85,0.09523809523809523,565.1596638655462,569.9052631578948,791.6,0.7777777777777778,850.0,117.77777777777777,0.0,0.0,447.38188608776846,0.17229473214424354,-67.1432914791124,False
s192,human,human,600,420,180,0.9380952380952381,0.004761904761904762,563.7055837563452,563.6866028708134,455.25,0.4777777777777778,450.0,261.1111111111111,50.0,300.0,302.5944726452341,-0.008073155787646634,21.721721560633682,True
s193,human,human,600,420,180,0.9642857142857143,0.004761904761904762,554.9555555555555,553.8205741626795,480.8,0.4777777777777778,350.0,198.33333333333334,0.0,150.0,356.62222222222215,-0.08055752538396271,26.37284407917582,True
s194,human,human,600,420,180,0.9428571428571428,0.011904761904761904,540.4949494949495,542.2240963855422,411.0,0.48333333333333334,400.0,272.22222222222223,150.0,300.0,268.2727272727273,-0.011997916620892285,2.724318658280936,True
s195,human,human,600,420,180,0.9238095238095239,0.0,516.7036082474227,515.6380952380953,467.5,0.5055555555555555,500.0,205.83333333333334,0.0,50.0,310.87027491408935,-0.004917055260445998,10.033144299595392,True
s196,human,human,600,420,180,0.8738095238095238,0.06190476190476191,791.708446866485,799.3223350253808,841.6,0.4388888888888889,850.0,538.8888888888889,250.0,600.0,252.8195579775961,0.09076570617469773,-33.96342592592589,True
s197,human,human,600,420,180,0.8904761904761904,0.0380952380952381,725.6256684491979,730.7623762376238,644.8,0.4888888888888889,550.0,297.5,0.0,0.0,428.12566844919786,0.010944130703960707,-0.90579253604119,True
s198,human,human,600,420,180,0.9928571428571429,0.0,593.2901678657074,592.8119047619048,568.0,0.4777777777777778,500.0,364.44444444444446,200.0,400.0,228.84572342126296,-0.07177253332762112,69.42824577976745,True
s199,human,human,600,420,180,0.9357142857142857,0.007142857142857143,621.9974554707379,612.8249400479616,419.3333333333333,0.46111111111111114,750.0,470.0,150.0,300.0,151.99745547073792,-0.06450393887072933,-14.998120767294324,True
s200,human,human,600,420,180,0.95,0.002380952380952381,434.922305764411,432.035799522673,473.0,0.7111111111111111,250.0,48.611111111111114,0.0,0.0,386.31119465329994,0.09428617549839376,17.5214285714286,True
s201,human,human,600,420,180,0.9666666666666667,0.007142857142857143,573.1995073891626,575.4844124700239,524.0,0.48333333333333334,400.0,233.61111111111111,0.0,200.0,339.5883962780515,0.0234821651440517,-6.355238319962268,True
s202,human,human,600,420,180,0.9833333333333333,0.0,570.4213075060533,569.95,635.25,0.4666666666666667,650.0,401.1111111111111,150.0,500.0,169.31019639494218,-0.004027821550954234,3.906396805512088,True
s203,human,human,600,420,180,0.9619047619047619,0.007142857142857143,646.5693069306931,647.0503597122303,539.5,0.48333333333333334,550.0,342.77777777777777,200.0,300.0,303.7915291529153,-0.013007784804789794,6.657006702568651,True
s204,human,human,600,420,180,0.8809523809523809,0.002380952380952381,608.0513513513514,611.1241050119331,595.2857142857143,0.4777777777777778,650.0,323.05555555555554,0.0,400.0,284.99579579579586,0.1371549897692569,-68.96016758571824,True
s205,human,human,600,420,180,0.9523809523809523,0.0,474.8975,474.997619047619,457.2,0.48333333333333334,400.0,201.11111111111111,50.0,200.0,273.78638888888884,0.0032174192170804396,16.38384500528059,True
s206,human,human,600,420,180,0.9,0.016666666666666666,528.2142857142857,528.6125907990315,553.375,0.46111111111111114,400.0,226.66666666666666,0.0,300.0,301.54761904761904,-0.04237402268483529,22.200834245076578,True
s207,human,human,600,420,180,0.9523809523809523,0.023809523809523808,557.0675,558.109756097561,432.0,0.4666666666666667,850.0,333.3333333333333,100.0,300.0,223.73416666666668,0.053798942943244846,-6.535769612711022,True
s208,human,human,600,420,180,0.9452380952380952,0.007142857142857143,508.0,509.40767386091125,481.0,0.48333333333333334,400.0,262.77777777777777,0.0,400.0,245.22222222222223,-0.0015717182770352695,13.88891961651916,True
s209,human,human,600,420,180,0.9047619047619048,0.002380952380952381,554.3631578947368,553.9546539379475,490.0,0.48333333333333334,400.0,240.55555555555554,50.0,200.0,313.80760233918124,-0.03600321977488616,-3.935874877810363,True
s210,human,human,600,420,180,0.9333333333333333,0.004761904761904762,560.045918367347,556.6626794258373,421.75,0.45,400.0,269.44444444444446,100.0,300.0,290.6014739229025,-0.01971387484519605,28.4403294294911,True
s211,human,human,600,420,180,0.9428571428571428,0.0,618.6388888888889,615.0666666666667,706.0909090909091,0.5666666666666667,350.0,168.05555555555554,0.0,100.0,450.58333333333337,-0.09287946683204938,15.465247127122325,True
s212,human,human,600,420,180,0.9880952380952381,0.0,779.0578313253012,779.9,1102.0,0.48333333333333334,850.0,430.55555555555554,0.0,500.0,348.50227576974567,-0.01195971061884882,-56.9157806835309,True
s213,human,human,600,420,180,0.9523809523809523,0.0,484.56,483.8547619047619,411.75,0.4888888888888889,300.0,167.22222222222223,0.0,200.0,317.3377777777778,-0.10136537154586596,50.510376943385154,True
s214,human,human,600,420,180,0.9619047619047619,0.0,594.049504950495,592.5571428571428,585.6666666666666,0.4722222222222222,500.0,312.22222222222223,150.0,200.0,281.8272827282728,-0.0209686067939281,1.99383399793237,True
s215,human,human,600,420,180,0.9714285714285714,0.007142857142857143,609.2647058823529,608.2613908872902,492.3333333333333,0.48333333333333334,500.0,292.22222222222223,100.0,200.0,317.0424836601307,0.026591238101858553,-15.401062257897024,True
s216,human,human,600,420,180,0.9547619047619048,0.004761904761904762,581.0822942643391,578.3851674641148,511.75,0.49444444444444446,350.0,185.27777777777777,0.0,100.0,395.80451648656134,-0.059575129667491504,55.45878657882639,True
s217,human,human,600,420,180,0.9714285714285714,0.0,527.8333333333334,526.35,392.0,0.5055555555555555,400.0,247.5,0.0,400.0,280.33333333333337,-0.0632599526016388,20.929718875502033,True
